placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
tojinbo-shotaro,Face,2024-10-21 00:00:00,2024-10-22 00:00:00,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-10-22 00:00:00,2024-10-23 00:00:00,123,1,34,11,8,14,8,8,6,3,0,7,4,2,6,2,5,2,2,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-10-23 00:00:00,2024-10-24 00:00:00,488,1,111,27,28,45,35,18,25,26,0,22,11,23,27,20,18,24,23,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-10-24 00:00:00,2024-10-25 00:00:00,534,1,113,34,29,39,29,30,21,26,1,44,37,27,23,15,22,17,22,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-10-25 00:00:00,2024-10-26 00:00:00,475,2,95,29,29,39,21,33,27,10,0,28,15,13,29,36,19,23,20,0,1,0,1,0,0,0,0,0
tojinbo-shotaro,Face,2024-10-26 00:00:00,2024-10-27 00:00:00,41,1,11,1,2,2,5,3,1,2,0,4,1,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-10-27 00:00:00,2024-10-28 00:00:00,9,0,2,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-10-28 00:00:00,2024-10-29 00:00:00,46,0,6,2,6,6,4,3,2,1,0,6,3,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-10-29 00:00:00,2024-10-30 00:00:00,494,2,113,34,25,34,29,22,30,35,0,35,18,13,17,20,21,22,20,0,0,0,0,0,1,0,1,0
tojinbo-shotaro,Face,2024-10-30 00:00:00,2024-10-31 00:00:00,666,2,168,41,26,44,45,31,35,25,0,33,25,25,35,30,32,28,31,0,1,0,0,0,0,0,0,0
