placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
rainbow-line-parking-lot-2-gate,Face,2024-10-29 00:00:00,2024-10-30 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-2-gate,Face,2024-10-30 00:00:00,2024-10-31 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-2-gate,Face,2024-10-31 00:00:00,2024-11-01 00:00:00,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
rainbow-line-parking-lot-2-gate,Face,2024-11-01 00:00:00,2024-11-02 00:00:00,12,0,0,0,0,3,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
rainbow-line-parking-lot-2-gate,Face,2024-11-03 00:00:00,2024-11-04 00:00:00,282,1,21,17,13,21,24,41,56,55,0,0,3,1,1,2,0,2,9,0,0,0,0,0,0,0,0,10
rainbow-line-parking-lot-2-gate,Face,2024-11-04 00:00:00,2024-11-05 00:00:00,442,4,83,34,15,35,21,36,81,80,0,12,4,7,3,2,4,0,7,0,0,0,0,0,0,0,0,7
rainbow-line-parking-lot-2-gate,Face,2024-11-05 00:00:00,2024-11-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-2-gate,Face,2024-11-06 00:00:00,2024-11-07 00:00:00,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
rainbow-line-parking-lot-2-gate,Face,2024-11-08 00:00:00,2024-11-09 00:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
rainbow-line-parking-lot-2-gate,Face,2024-11-09 00:00:00,2024-11-10 00:00:00,159,0,28,10,5,18,11,11,30,35,0,5,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0
